GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "06025","Imperial, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",73.681,88.926,83.302,80.936,88.415,97.298,94.961,108.143,103.020,101.357,105.643,100.000,105.481,112.696,123.292,124.237,124.399,122.719,129.755
 "06025","Imperial, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3772033,4533095,4436136,4546757,4969461,5597342,5885733,6810035,6303827,6431685,7170451,6921213,7489047,8031489,8561955,8381827,8666402,8667650,9334680
 "06027","Inyo, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",882960,1022999,992395,1023537,1011324,1091285,1072545,1063882,1036763,1046528,1029534,1024042,1120990,1123986,1151157,1224800,1263468,1208235,1261469
 "06027","Inyo, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",86.223,99.898,96.910,99.951,98.758,106.566,104.736,103.890,101.242,102.196,100.536,100.000,109.467,109.760,112.413,119.605,123.380,117.987,123.185
 "06027","Inyo, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",678015,789942,790813,838869,857149,961100,972252,983733,1005223,1016680,1015432,1024042,1151293,1187801,1235164,1325129,1382763,1344268,1435942
 "06029","Kern, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",27618932,31296594,31272159,34099312,36485644,42296480,46050178,44754003,47449625,45063706,43919345,47559076,46625163,47382801,47841535,47776348,48399815,49292395,51416782
 "06029","Kern, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",58.073,65.806,65.754,71.699,76.716,88.935,96.827,94.102,99.770,94.753,92.347,100.000,98.036,99.629,100.594,100.457,101.768,103.645,108.111
 "06029","Kern, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",19598097,21876624,23973670,27832196,32407587,38755436,44427362,48058579,41372904,43360880,45318708,47559076,48212860,49238908,44260330,43109241,45892937,48734093,50261412
 "06031","Kings, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4291472,4604938,5103026,5376357,5648585,5478862,6209700,5610367,5125839,5204292,5855932,5378069,5420503,5905170,5866278,5927002,6140324,6250134,6609432
 "06031","Kings, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.796,85.624,94.886,99.968,105.030,101.874,115.463,104.319,95.310,96.769,108.885,100.000,100.789,109.801,109.078,110.207,114.173,116.215,122.896
 "06031","Kings, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3095312,3386118,3895920,4323489,4537702,4506136,5441194,5031663,4710893,4871435,5711347,5378069,5549191,6096096,6039700,6083737,6448532,6645763,7163683
 "06033","Lake, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1428266,1639609,1647754,1679119,1675435,1983999,1996880,1898056,1703491,1711655,1733926,1741575,1750063,1894990,1897434,1957857,1886380,2073320,2189985
 "06033","Lake, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.010,94.145,94.613,96.414,96.202,113.920,114.659,108.985,97.813,98.282,99.561,100.000,100.487,108.809,108.949,112.419,108.315,119.049,125.747
 "06033","Lake, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1095248,1283276,1323748,1388484,1434443,1768175,1838135,1777274,1648713,1662678,1707013,1741575,1794461,1990101,2030888,2120390,2085236,2342085,2532409
 "06035","Lassen, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",864619,926501,962389,969626,1001293,1108932,1135189,1217170,1110061,1224183,1202372,1258456,1244163,1232553,1259252,1300945,1200996,1195312,1262036
 "06035","Lassen, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",68.705,73.622,76.474,77.049,79.565,88.118,90.205,96.719,88.208,97.277,95.543,100.000,98.864,97.942,100.063,103.376,95.434,94.982,100.285
 "06035","Lassen, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",644059,708977,759058,792554,844304,968212,1035426,1134148,1040354,1170291,1181406,1258456,1273526,1284078,1334996,1389240,1306212,1331951,1441448
 "06037","Los Angeles, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",477951350,490762578,512881202,531883740,548417062,572012870,578286981,589103804,562487797,574263725,586247485,592432839,606797978,628691886,658688546,674110134,697593991,708846321,726943301
 "06037","Los Angeles, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.676,82.839,86.572,89.780,92.570,96.553,97.612,99.438,94.945,96.933,98.956,100.000,102.425,106.120,111.184,113.787,117.751,119.650,122.705
 "06037","Los Angeles, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",392137101,408655778,432678180,459726567,486053719,519410971,538325814,555858096,535265666,552228768,573273776,592432839,617665675,650900997,693677247,719254061,755617399,784709193,819446415
 "06039","Madera, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3288405,3721882,3852624,4467024,4797976,5187705,5168564,5028567,4415491,5061629,5097178,5289625,5375893,5774041,5623485,6169099,6333400,6456568,6740169
 "06039","Madera, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",62.167,70.362,72.834,84.449,90.705,98.073,97.711,95.065,83.475,95.690,96.362,100.000,101.631,109.158,106.312,116.626,119.732,122.061,127.422
 "06039","Madera, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2440065,2806417,2981649,3618494,3873024,4285379,4560854,4509224,4015532,4693311,4978331,5289625,5521365,5912729,5653491,6122107,6468415,6669130,7071620
 "06041","Marin, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",16546793,17559783,18091094,17337055,17254942,17399110,16893642,16757893,16220144,16439811,16801048,17172987,17592146,18493726,19265134,20908852,22718463,23487299,23795829
 "06041","Marin, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",96.354,102.252,105.346,100.955,100.477,101.317,98.373,97.583,94.451,95.731,97.834,100.000,102.441,107.691,112.183,121.754,132.292,136.769,138.565
 "06041","Marin, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",13023052,14118911,14795273,14605382,14970915,15571585,15601424,15751799,15521364,15856629,16437686,17172987,17973816,19289467,20580803,22753889,25199062,26599084,27489610
 "06043","Mariposa, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",482619,512546,523603,560099,593566,665124,658724,580723,580041,571956,633284,585907,581873,597532,613432,659803,701847,805279,862546
 "06043","Mariposa, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.371,87.479,89.366,95.595,101.307,113.520,112.428,99.115,98.999,97.619,108.086,100.000,99.311,101.984,104.698,112.612,119.788,137.441,147.215
 "06043","Mariposa, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",373628,406253,425061,466605,514103,598603,612218,550133,559981,554067,621731,585907,595315,626682,658271,719176,781459,916095,1000996
 "06045","Mendocino, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2947973,3091891,3121343,3029564,3068385,3356011,3331244,3357180,3282817,3396740,3219618,3194104,3248250,3333792,3435367,3498354,3559944,3692526,3856796
 "06045","Mendocino, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",92.294,96.800,97.722,94.849,96.064,105.069,104.294,105.106,102.777,106.344,100.799,100.000,101.695,104.373,107.553,109.525,111.454,115.604,120.747
 "06045","Mendocino, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2291699,2461701,2532331,2530579,2643608,2976526,3035533,3123365,3146315,3272507,3135233,3194104,3331859,3494724,3688033,3823849,3956339,4186105,4475367
 "06047","Merced, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5953206,6338754,6940471,7621074,7972700,8204961,9055805,8024078,7571828,7602694,7928274,7704366,8066818,9021104,9196534,9264060,9941052,9918371,10383485
 "06047","Merced, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.271,82.275,90.085,98.919,103.483,106.498,117.541,104.150,98.280,98.680,102.906,100.000,104.705,117.091,119.368,120.244,129.031,128.737,134.774
 "06047","Merced, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4369943,4719277,5320705,6147188,6371404,6680896,7909623,7155570,6795457,6985034,7705641,7704366,8268420,9241128,9285603,9273118,10182068,10242532,10922271
 "06049","Modoc, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",259745,326048,308669,296889,342673,374175,365806,408419,425713,394943,363848,336444,341994,364086,393949,415422,403803,410576,460751
 "06049","Modoc, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.203,96.910,91.745,88.243,101.851,111.215,108.727,121.393,126.533,117.388,108.145,100.000,101.650,108.216,117.092,123.474,120.021,122.034,136.947
 "06049","Modoc, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",189558,241832,238355,240745,277344,308836,326937,371297,362253,353591,355399,336444,350891,371785,389311,398841,402779,413728,473141
 "06051","Mono, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",869156,955857,1021818,988474,1096262,1016167,940061,943239,931542,972388,989335,924899,945504,955979,967378,1006336,1103153,1042587,1162497
 "06051","Mono, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.973,103.347,110.479,106.874,118.528,109.868,101.639,101.983,100.718,105.135,106.967,100.000,102.228,103.360,104.593,108.805,119.273,112.724,125.689
 "06051","Mono, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",645002,726228,796051,802814,925077,893830,863453,884519,890279,934245,969689,924899,967800,998104,1033177,1092294,1222042,1181003,1347957
 "06053","Monterey, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",20892363,22161647,22253714,20131783,20668332,22729488,21790738,21260421,22536558,21872046,20720752,21344927,22703830,23311023,25382242,26037608,26213769,26821031,27581259
 "06053","Monterey, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",97.880,103.826,104.258,94.316,96.830,106.487,102.089,99.604,105.583,102.470,97.076,100.000,106.366,109.211,118.915,121.985,122.810,125.655,129.217
 "06053","Monterey, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",15619341,16545212,17328431,16510396,17096950,19232288,19722919,19661543,20360049,20535152,20395490,21344927,23300215,24086389,25734854,26110455,27076262,28216017,29455388
 "06055","Napa, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",7286673,7632484,7709317,7591166,7976391,8186705,8366979,8234240,7932267,7773284,7783462,8162828,8524328,9074870,9601120,9757363,9973528,10053421,10283597
 "06055","Napa, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.267,93.503,94.444,92.997,97.716,100.292,102.501,100.875,97.175,95.228,95.353,100.000,104.429,111.173,117.620,119.534,122.182,123.161,125.981
 "06055","Napa, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",5595519,6015057,6175683,6210363,6698645,7038158,7380009,7479625,7577558,7464055,7520165,8162828,8724840,9514255,10344704,10761613,11074508,11286400,11816527
 "06057","Nevada, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3069533,3296460,3361354,3386700,3541850,3759614,3791214,3748720,3655250,3837430,3863343,3792663,3828034,3864324,3944563,4035298,4088358,4151624,4428088
 "06057","Nevada, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.933,86.917,88.628,89.296,93.387,99.129,99.962,98.841,96.377,101.180,101.864,100.000,100.933,101.889,104.005,106.397,107.796,109.465,116.754
 "06057","Nevada, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2461947,2701111,2800931,2897734,3131024,3430817,3554684,3555445,3534662,3717439,3784997,3792663,3913506,4044427,4241535,4424759,4565821,4735076,5181790
 "06059","Orange, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",164620124,169402442,181739475,191064096,201538992,201430222,198873086,192254674,180102691,185742441,185640262,193612691,197346636,202019414,211088369,215713224,224424781,228324637,233323465
 "06059","Orange, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",85.025,87.496,93.868,98.684,104.094,104.038,102.717,99.299,93.022,95.935,95.882,100.000,101.929,104.342,109.026,111.415,115.914,117.929,120.510
 "06059","Orange, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",133987493,140046532,151905145,163455086,177013090,181942211,184121046,180218699,172151736,178503694,181345626,193612691,201731945,210750539,225178787,234053392,247314645,256981877,269229776
 "06061","Placer, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",11813953,12633326,13876906,14848530,15861758,16065635,15707895,15454538,15176470,15364090,15526071,16143073,16595454,17179623,18351882,19268828,19713339,20596359,21531825
 "06061","Placer, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",73.183,78.258,85.962,91.981,98.257,99.520,97.304,95.735,94.012,95.175,96.178,100.000,102.802,106.421,113.683,119.363,122.116,127.586,133.381
 "06061","Placer, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",10175371,11003852,12162055,13271831,14535185,15073500,14994039,14798880,14734451,14924105,15219014,16143073,16937330,17895851,19504256,20714795,21593906,23066409,24708238
 "06063","Plumas, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",921260,1013477,1105994,1076088,1048307,1200678,1052752,1046214,1010217,1049098,1091881,969371,913453,953649,942350,1013560,1127893,1056830,1245201
 "06063","Plumas, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",95.037,104.550,114.094,111.009,108.143,123.862,108.602,107.927,104.214,108.225,112.638,100.000,94.232,98.378,97.213,104.559,116.353,109.022,128.455
 "06063","Plumas, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",706228,787308,887361,903455,912654,1092815,986304,990218,977132,1023842,1080652,969371,941861,1019280,1027866,1114150,1264844,1215905,1461490
 "06065","Riverside, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",47019020,50132866,54155537,58584563,62764145,66928708,67146566,64182405,60115941,60942520,62876339,63100535,65878408,68576517,72617378,74478442,76779452,78801936,82105026
 "06065","Riverside, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",74.514,79.449,85.824,92.843,99.467,106.067,106.412,101.715,95.270,96.580,99.645,100.000,104.402,108.678,115.082,118.031,121.678,124.883,130.118
 "06065","Riverside, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",36392995,39600115,43612760,48648593,53789330,59354056,61541712,59844401,57408251,58544501,61412667,63100535,67389339,71670835,77759407,81022880,84997016,89246521,95533449
 "06067","Sacramento, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",61317128,63288307,67094213,69417307,73494831,75698331,76243289,75813306,72321328,70085359,71191334,71726795,73943675,76151438,79232637,79978705,82460874,84869773,88620397
 "06067","Sacramento, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",85.487,88.235,93.541,96.780,102.465,105.537,106.297,105.697,100.829,97.712,99.253,100.000,103.091,106.169,110.464,111.505,114.965,118.324,123.553
 "06067","Sacramento, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",48560332,51217468,55321496,58847973,64005679,67808880,70216561,71015313,69270910,67743335,69688605,71726795,75774455,79776333,85025995,87113990,91234514,96046470,102787696
