county_name,avg_daily_attendance_expense,year
Amador,8901.278922414975,2017
Butte,11226.794309590055,2017
Calaveras,10938.373329847313,2017
Colusa,10152.436832442503,2017
Contra Costa,11030.53625404442,2017
Del Norte,11129.618433704378,2017
El Dorado,10332.364589573472,2017
Fresno,10960.859223384941,2017
Glenn,10103.512281736548,2017
Humboldt,11870.250734374806,2017
Imperial,11529.30738365909,2017
Inyo,13709.970278055907,2017
Kern,11112.485260685566,2017
Kings,10794.448481817577,2017
Lake,12185.73788750652,2017
Lassen,11148.443994258792,2017
Los Angeles,12179.196693081893,2017
Madera,10776.625695406872,2017
Marin,13430.39012532742,2017
Mariposa,11952.9943319074,2017
Mendocino,13314.634792791976,2017
Merced,10923.370601905339,2017
Modoc,12160.905085970902,2017
Mono,15091.786291333905,2017
Monterey,11658.312345408818,2017
Napa,12349.171392970955,2017
Nevada,11654.97687582059,2017
Orange,10925.830250646966,2017
Placer,10139.411507317353,2017
Plumas,13298.05611937449,2017
Riverside,11410.620154054055,2017
Sacramento,11143.567629049714,2017
San Benito,10602.501395626778,2017
San Bernardino,11297.261311897617,2017
San Diego,11822.277768930522,2017
San Francisco,12147.724183982167,2017
San Joaquin,10643.075368005086,2017
San Luis Obispo,11233.538359912276,2017
San Mateo,12772.596761758796,2017
Santa Barbara,11694.088537063139,2017
Santa Clara,12306.558042403749,2017
Santa Cruz,12200.508228234938,2017
Shasta,11783.904452685383,2017
Sierra,13471.602393690364,2017
Siskiyou,12449.39319377916,2017
Solano,10382.193715522752,2017
Sonoma,12080.315529010177,2017
Stanislaus,10760.377918842722,2017
Sutter,10660.85631628748,2017
Tehama,10921.16205713127,2017
Trinity,14172.924740180293,2017
Tulare,10773.523702754235,2017
Tuolumne,11787.514817272708,2017
Ventura,10624.166856414266,2017
Yolo,11141.175542359575,2017
Yuba,10730.443614212129,2017
Alameda,11200.348206143983,2016
Alpine,32361.457175630898,2016
Amador,8259.00438760398,2016
Butte,10500.718023400608,2016
Calaveras,10522.376740841108,2016
Colusa,9643.888176333665,2016
Contra Costa,10146.301490829863,2016
Del Norte,10941.987685236212,2016
El Dorado,9721.432619933814,2016
Fresno,10571.293264424929,2016
Glenn,9607.882757033587,2016
Humboldt,11036.532564011915,2016
Imperial,10879.056397710663,2016
Inyo,13543.817281637705,2016
Kern,10372.261604772288,2016
Kings,10223.560573128205,2016
Lake,11338.224203084925,2016
Lassen,10224.1512590256,2016
Los Angeles,11548.320015635149,2016
Madera,10060.074997859472,2016
Marin,12680.35942265231,2016
Mariposa,11170.813473902313,2016
Mendocino,12576.95007754161,2016
Merced,9991.197839430004,2016
Modoc,11635.071227419467,2016
Mono,14497.305264151453,2016
Monterey,10933.833382970603,2016
Napa,11657.037004861873,2016
Nevada,10945.923878351743,2016
Orange,10242.420245540488,2016
Placer,9573.900585743437,2016
Plumas,12710.908863927503,2016
Riverside,10360.362351691449,2016
Sacramento,10288.205762596119,2016
San Benito,9709.470894540511,2016
San Bernardino,10388.464407345045,2016
San Diego,10991.303152715944,2016
San Francisco,11319.239042682555,2016
San Joaquin,10120.640886558256,2016
San Luis Obispo,10526.113733385808,2016
San Mateo,11912.718466713275,2016
Santa Barbara,10750.255155670895,2016
Santa Clara,11239.823692075854,2016
Santa Cruz,11052.397339706467,2016
Shasta,11146.224809052523,2016
Sierra,13306.543287883827,2016
Siskiyou,11868.411515439047,2016
Solano,9868.56490806142,2016
Sonoma,11228.591850542725,2016
Stanislaus,9846.557935165825,2016
Sutter,9732.044890496587,2016
Tehama,10475.370545326134,2016
Trinity,14373.393609445542,2016
Tulare,10050.97489512263,2016
Tuolumne,11070.208425316965,2016
Ventura,9915.85964928778,2016
Yolo,10268.12495597339,2016
Yuba,10149.630565155858,2016
Alameda,10065.109703021459,2015
Alpine,32790.092412091304,2015
Amador,7598.36393115077,2015
Butte,9703.910454702882,2015
Calaveras,9366.152627104097,2015
Colusa,8541.008319794983,2015
Contra Costa,9257.098176711912,2015
Del Norte,10753.922375660637,2015
El Dorado,9149.168462724785,2015
Fresno,9550.118659781563,2015
Glenn,8876.635468423705,2015
Humboldt,10496.632468592166,2015
Imperial,9707.127371288057,2015
Inyo,12548.575510204082,2015
Kern,9567.056927818052,2015
Kings,8993.608924139076,2015
Lake,9788.679000003622,2015
Lassen,9701.615738402486,2015
Los Angeles,10452.78463892782,2015
Madera,8849.26688946418,2015
Marin,11913.5365171729,2015
Mariposa,10363.310927424754,2015
Mendocino,11360.916564239355,2015
Merced,9082.580025099418,2015
Modoc,11242.754921770367,2015
Mono,14061.567721086403,2015
Monterey,9591.875024083603,2015
Napa,10447.630481099597,2015
Nevada,10021.9368170352,2015
Orange,9105.32523336697,2015
Placer,8925.076267834358,2015
Plumas,12892.505082810489,2015
Riverside,9217.936766218358,2015
Sacramento,9637.092019777256,2015
San Benito,9085.529061630441,2015
San Bernardino,9490.920116540696,2015
San Diego,10053.85171932774,2015
San Francisco,10288.287093906594,2015
San Joaquin,9231.081330910529,2015
San Luis Obispo,9550.845702664978,2015
San Mateo,10761.13376093624,2015
Santa Barbara,9809.110884803364,2015
Santa Clara,10269.74594034392,2015
Santa Cruz,10522.018184675258,2015
Shasta,10255.777169881132,2015
Sierra,12680.245291517693,2015
Siskiyou,11087.563862453848,2015
Solano,8679.79885897835,2015
Sonoma,10180.167885852174,2015
Stanislaus,9035.351774119978,2015
Sutter,9070.83092385301,2015
Tehama,9579.708237427207,2015
Trinity,14155.282000550795,2015
Tulare,9053.529656149873,2015
Tuolumne,10571.90129067517,2015
Ventura,8971.657586604633,2015
Yolo,9099.009473956667,2015
Yuba,9427.918253125503,2015
Alameda,9359.865129618556,2014
Alpine,32705.259320948113,2014
Amador,6909.1111348365785,2014
Butte,8972.45510155196,2014
Calaveras,9088.735276770238,2014
Colusa,7770.909210961477,2014
Contra Costa,8494.563068492003,2014
Del Norte,10593.244305470662,2014
El Dorado,8422.210827215851,2014
Fresno,8646.110916635906,2014
Glenn,8305.543737264481,2014
Humboldt,9554.632077235965,2014
Imperial,8749.307797461544,2014
Inyo,11629.59345090703,2014
Kern,8781.731783958348,2014
Kings,8332.980145014042,2014
Lake,9190.533814355562,2014
Lassen,8472.20583753694,2014
Los Angeles,9386.676686795061,2014
Madera,7970.9620680077605,2014
Marin,11046.930009452197,2014
Mariposa,9943.769685816533,2014
Mendocino,10701.151727538352,2014
Merced,8246.3601073117,2014
Modoc,10684.915496213202,2014
Mono,13208.375957015489,2014
Monterey,8993.293555584705,2014
Napa,9635.072620193092,2014
Nevada,9178.62095325146,2014
Orange,8273.596122586776,2014
Placer,7994.393699316332,2014
Plumas,11443.975301631564,2014
Riverside,8247.092155671371,2014
Sacramento,8684.824089918628,2014
San Benito,8234.268683984485,2014
San Bernardino,8366.862816954455,2014
San Diego,9113.640113671336,2014
San Francisco,9780.348973572083,2014
San Joaquin,8432.913632835427,2014
San Luis Obispo,8693.653186699828,2014
San Mateo,9955.400354517757,2014
Santa Barbara,8871.028688162529,2014
Santa Clara,9306.624270578111,2014
Santa Cruz,9848.771696673157,2014
Shasta,9221.069252735155,2014
Sierra,13391.462659998304,2014
Siskiyou,10228.14582734043,2014
Solano,7960.046266695627,2014
Sonoma,9136.171486068693,2014
Stanislaus,8031.439475022161,2014
Sutter,8279.832105151963,2014
Tehama,8988.488988285852,2014
Trinity,13516.133239016399,2014
Tulare,8159.068540958627,2014
Tuolumne,9532.555208962098,2014
Ventura,8129.873399814053,2014
Yolo,8421.05203526649,2014
Yuba,8474.439663608928,2014
