state,county,area_land,area_water,longitude,latitude
28,087,1309092512,28545194,-88.44458776723623,33.47511377684755
39,113,1195255491,7582181,-84.29048272087248,39.75396979583487
31,137,1398048574,1646533,-99.41465112614063,40.51151142277798
17,181,1070856127,22502069,-89.25548937660244,37.4711960916946
01,017,1545085607,16971701,-85.3907275865993,32.91360030579512
13,073,751293212,45394052,-82.26352399661977,33.54534184613774
17,083,956445338,20311971,-90.35393072545071,39.0886904646558
26,151,2493045477,1624882510,-82.8205589814492,43.42406072167553
29,031,1498398269,20174864,-89.68478173178993,37.38804661285315
37,055,992549370,3000522458,-75.71844622617684,35.67115782088561
47,139,1125616970,19912651,-84.52071829230123,35.12246355773636
22,063,1678751118,112117730,-90.72863847322333,30.44189943600457
21,069,902727151,7182793,-83.69657051961774,38.36753800145686
29,117,1378644691,16200765,-93.54645978104907,39.78110271965561
29,085,1032907420,33455658,-93.32033159484607,37.94161954464793
39,173,1598531979,8628879,-83.62283595281114,41.36227773856856
40,107,1602086603,26680149,-96.32639984084241,35.46485198195665
51,840,23809490,54462,-78.1733343671138,39.17144646041494
48,441,2371228263,9760311,-99.8900744885861,32.30163421896146
54,095,663818549,11382159,-80.88772676514158,39.46811971989815
55,015,824341282,204083857,-88.2178027306711,44.081631603615016
31,143,1135309851,5947393,-97.5663071236469,41.18813487634427
31,157,1915079306,15397684,-103.70809860907073,41.850708960903354
05,009,1528068629,31092612,-93.09373748196792,36.308902926527104
12,103,709006650,866038559,-82.72239666116022,27.931303492390114
16,081,1163139950,2868473,-111.20567729344526,43.7530358278076
20,129,1889994372,507796,-101.7992518858525,37.19141120816473
26,059,1549207127,22939158,-84.59312018766629,41.8875363883461
36,101,3601504766,35055664,-77.38299239560098,42.26891439778896
39,083,1361052752,10720134,-82.42289640585344,40.39589368573919
40,105,1465358446,38869450,-95.61902330639279,36.7984352889394
47,181,1901333913,4023436,-87.7833911597359,35.23765188891416
54,065,593295474,1401571,-78.26314128205033,39.554357721607865
13,067,879964563,12464091,-84.57613315462294,33.942403300485815
13,305,1662610320,17766411,-81.91894878370124,31.55218090471445
17,123,1001866831,30364348,-89.34517326940724,41.03284724169697
18,031,964946090,1955470,-85.50087166255017,39.307126577661165
19,023,1502553961,4191852,-92.79015970622117,42.73172833054805
20,073,2961143633,24145021,-96.23250453485464,37.87743880002925
39,169,1437096032,5046259,-81.88844832732686,40.829258517544254
40,153,3217798484,9693376,-99.26283044786847,36.42316318169705
46,025,2480181887,25627352,-97.72925108973469,44.85834506774235
47,169,296143584,5960709,-86.160879542646,36.39026212923602
48,025,2279809496,246409,-97.74215592610133,28.417616678670726
48,151,2328272101,7258480,-100.40193024568536,32.74281316187134
48,005,2066245670,173333993,-94.60967247247406,31.254923757358934
56,033,6535475109,7986330,-106.88239894197334,44.79007834099233
48,383,3044049119,1792716,-101.52326593963933,31.366070410660743
51,159,495925426,64458631,-76.72920627963568,37.9375750014557
54,105,602201079,5839708,-81.37473928076135,39.027750070935575
56,031,5390926634,76129013,-104.96630121689356,42.133078595022724
48,161,2273311881,36936952,-96.1507251618105,31.704227880718893
28,155,1090210766,5947840,-89.28392912416614,33.61300486433874
20,023,2641501921,2738021,-101.73182008931794,39.78580975528901
31,179,1147147015,1084590,-97.119269635539,42.209344745405176
31,109,2169287528,22832516,-96.68777155111462,40.78416048993615
38,075,2271556751,40648324,-101.66039119948181,48.71982533040798
08,125,6123763482,11134666,-102.42586727231343,40.00346838953626
27,131,1284215164,52066242,-93.29658715160818,44.3543375988542
30,065,4840577748,7118682,-108.39720835454041,46.4965961945789
31,185,1482793604,8595508,-97.59710186149152,40.872726177009454
37,063,741907726,29553623,-78.87607362698651,36.03641221886081
47,007,1052635795,838360,-85.2061196682796,35.599429680615096
48,341,2330207187,25699789,-101.89302811911725,35.83769241656111
49,031,1964345863,20285697,-112.12495914683775,38.33815254358765
51,580,14163842,521492,-79.98573507080916,37.77820686157997
01,053,2448115119,20504948,-87.1591869367314,31.1256789031447
72,061,71444638,468304,-66.11452794937156,18.340327559349657
72,121,94050248,25323,-66.94197028793943,18.082877480287213
20,089,2356813568,11367163,-98.21820661766964,39.78470589215145
46,099,2089691730,18198496,-96.79137395054984,43.67413172421865
36,097,850405404,36246373,-76.87732989796571,42.391840148148404
42,015,2971797231,35229170,-76.51570821597375,41.78869214971548
20,059,1480855479,13920171,-95.28644340514474,38.56443815276438
13,113,503420082,12825181,-84.49087638114553,33.413580026612465
17,171,649861225,4812707,-90.47814430646382,39.642916895947245
04,003,15966170808,137020196,-109.75175561905017,31.87902285152671
06,049,10140960152,745420661,-120.72448170142785,41.58965601985601
17,091,1752121058,12440760,-87.861980657837,41.137456819108145
19,195,1036314923,4709127,-93.26087602500974,43.37750768335405
19,063,1025328489,17196405,-94.67858943419174,43.377829506694624
26,053,2854517985,970153167,-89.69377193054004,46.40862701034865
20,077,2075290355,3899269,-98.07578383935491,37.19175360774089
