state,county,area_land,area_water,longitude,latitude
05,073,1368278177,43469442,-93.60677070845453,33.2411671345576
37,003,673358170,9445988,-81.17751948069278,35.92237959561046
48,425,482938555,14221311,-97.77403488601499,32.22236801801593
13,301,736483607,6034478,-82.67796147741903,33.41146568482044
37,119,1356047125,58339340,-80.83171159424406,35.24454746504665
39,101,1045726872,908577,-83.15736304810984,40.58610662430495
18,111,1040539827,4349506,-87.39635768026089,40.95610449462629
20,091,1226647559,16351084,-94.82250844457755,38.88548241023854
19,051,1300661911,6904085,-92.41005467908049,40.74773536237486
08,063,5596501999,2251929,-102.60221991875217,39.30497777171195
17,105,2702980759,5975818,-88.55782233496892,40.8919034282341
13,285,1072274464,82761542,-85.02812115010688,33.033491956201786
19,065,1892840952,1320706,-91.84412309769966,42.862717986593346
20,113,2326543131,6007626,-97.64769868954731,38.39184858442234
19,069,1507301086,1428932,-93.26256924796878,42.73270384357954
01,045,1453244553,4082940,-85.61085260147784,31.430666669805724
48,309,2686132776,59883890,-97.20217693973163,31.55255452977274
12,093,1991328272,318722514,-80.88740973499834,27.385621817679617
17,129,814394259,2640418,-89.80256867778506,40.02743653440217
51,051,855860629,8082181,-82.35124941241405,37.12559151868605
08,095,1781724975,301808,-102.35776943728285,40.59414400068318
20,193,2783425128,288241,-101.05537048200175,39.35107574792264
16,057,2786483031,2369979,-116.71136984404028,46.81587887014652
19,125,1436120673,41487001,-93.09934783239244,41.33445101036822
13,059,308774405,4698758,-83.3712334911751,33.954366375129446
19,137,1098405745,2410443,-95.15642896216467,41.03018714484833
19,149,2234715206,2176851,-96.21366621334329,42.73763299628861
19,157,1514945162,2961947,-92.53155730702363,41.686254250291135
